M5Stack-Core-ESP32                               espressif:esp32:m5stack-core-esp32              
M5Stack-Core-ESP32                               esp32:esp32:m5stack-core-esp32                  
M5Stack-Core2                                    espressif:esp32:m5stack-core2                   
M5Stack-Core2                                    esp32:esp32:m5stack-core2                       
M5Stack-CoreInk                                  espressif:esp32:m5stack-coreink                 
M5Stack-CoreInk                                  esp32:esp32:m5stack-coreink                     
M5Stack-FIRE                                     espressif:esp32:m5stack-fire                    
M5Stack-FIRE                                     esp32:esp32:m5stack-fire                        
M5Stack-Timer-CAM                                esp32:esp32:m5stack-timer-cam                   
M5Stack-Timer-CAM                                espressif:esp32:m5stack-timer-cam               
M5Stick-C                                        espressif:esp32:m5stick-c                       
M5Stick-C                                        esp32:esp32:m5stick-c                           
MGBOT IOTIK 32A                                  espressif:esp32:mgbot-iotik32a                  
MGBOT IOTIK 32A                                  esp32:esp32:mgbot-iotik32a                      
MGBOT IOTIK 32B                                  espressif:esp32:mgbot-iotik32b                  
MGBOT IOTIK 32B                                  esp32:esp32:mgbot-iotik32b                      
MH ET LIVE ESP32DevKIT                           espressif:esp32:mhetesp32devkit                 
MH ET LIVE ESP32DevKIT                           esp32:esp32:mhetesp32devkit                     
MH ET LIVE ESP32MiniKit                          esp32:esp32:mhetesp32minikit                    
MH ET LIVE ESP32MiniKit                          espressif:esp32:mhetesp32minikit                
MagicBit                                         espressif:esp32:magicbit                        
MagicBit                                         esp32:esp32:magicbit                            
Metro ESP-32                                     esp32:esp32:metro_esp-32                        
Metro ESP-32                                     espressif:esp32:metro_esp-32                    
Microduino-CoreESP32                             espressif:esp32:CoreESP32                       
Microduino-CoreESP32                             esp32:esp32:CoreESP32                           
Nano32                                           esp32:esp32:nano32                              
Nano32                                           espressif:esp32:nano32                          
Node32s                                          espressif:esp32:node32s                         
Node32s                                          esp32:esp32:node32s                             
NodeMCU-32S                                      esp32:esp32:nodemcu-32s                         
NodeMCU-32S                                      espressif:esp32:nodemcu-32s                     
Noduino Quantum                                  esp32:esp32:quantum                             
Noduino Quantum                                  espressif:esp32:quantum                         
ODROID ESP32                                     espressif:esp32:odroid_esp32                    
ODROID ESP32                                     esp32:esp32:odroid_esp32                        
OLIMEX ESP32-DevKit-LiPo                         espressif:esp32:esp32-DevKitLipo                
OLIMEX ESP32-DevKit-LiPo                         esp32:esp32:esp32-DevKitLipo                    
OLIMEX ESP32-EVB                                 esp32:esp32:esp32-evb                           
OLIMEX ESP32-EVB                                 espressif:esp32:esp32-evb                       
OLIMEX ESP32-GATEWAY                             esp32:esp32:esp32-gateway                       
OLIMEX ESP32-GATEWAY                             espressif:esp32:esp32-gateway                   
